Item Name,Buy Price,Sell Price,Margin,Limit,1h Volume,Item ID,Filtered By
Diamond ring,1929,1932,-35,10000,1255,1643,Profit margin < 1gp
Diamond amulet (u),1920,1921,-37,10000,11646,1681,Profit margin < 1gp
Adamantite bar,1888,1888,-37,10000,108455,2361,Profit margin < 1gp
Black battleaxe,611,583,-39,125,34,1367,Profit margin < 1gp
Mithril battleaxe,926,901,-43,125,16,1369,Profit margin < 1gp
Black platebody,2323,2323,-46,125,57,1125,Limit × profit < 10k
Blue cape,159,111,-50,150,19,1021,Profit margin < 1gp
Teal boots,1331,1300,-57,150,100,2924,Profit margin < 1gp
Adamant platebody (h1),9147,9248,-83,8,2,23392,Profit margin < 1gp
Adamant battleaxe,2399,2361,-85,125,170,1371,Profit margin < 1gp
Green d'hide body,4390,4390,-87,125,1475,1135,Profit margin < 1gp
Mithril plateskirt,1254,1186,-91,125,499,1085,Profit margin < 1gp
Adamant sq shield,2106,2056,-91,125,18,1183,Limit × profit < 10k
Mithril platelegs (g),2544,2495,-98,8,2,12279,Limit × profit < 10k
Green dragonhide set,9017,9100,-99,125,5,12865,Profit margin < 1gp
Zamorak monk bottom,2613,2554,-110,15,55,1033,Profit margin < 1gp
Steel 2h sword,342,236,-110,125,613,1311,Profit margin < 1gp
Easter egg,5666,5666,-113,50,13,1961,Profit margin < 1gp
Saradomin platebody,50000,50896,-121,8,2,2661,Profit margin < 1gp
Adamant chainbody,2523,2435,-136,125,165,1111,Profit margin < 1gp
Rune sword,11897,12000,-137,70,588,1289,Profit margin < 1gp
Runite ore,10038,10100,-140,4500,37641,451,Profit margin < 1gp
Adamant platebody,9450,9496,-143,125,1864,1123,Profit margin < 1gp
Rune platelegs (t),37509,38100,-171,8,3,2625,Profit margin < 1gp
Adamant 2h sword,3539,3432,-175,125,310,1317,Profit margin < 1gp
Green d'hide vambraces,1450,1290,-185,125,145,1065,Profit margin < 1gp
Adamant kiteshield,2979,2844,-191,125,70,1199,Profit margin < 1gp
Rune med helm,10921,10931,-208,70,958,1147,Profit margin < 1gp
Rune pickaxe,18437,18592,-216,40,1415,1275,Profit margin < 1gp
Adamant platelegs,3549,3392,-224,125,411,1073,Profit margin < 1gp
Runite bar,12232,12239,-237,10000,42873,2363,Profit margin < 1gp
Rune scimitar,14792,14827,-261,70,1073,1333,Profit margin < 1gp
Disk of Returning,13522,13522,-270,50,2,981,Profit margin < 1gp
Rune full helm,20385,20441,-352,70,2246,1163,Profit margin < 1gp
Rune longsword,18505,18517,-358,70,2014,1303,Profit margin < 1gp
Rune mace,8278,8003,-435,70,1612,1432,Profit margin < 1gp
Rune warhammer,24831,24887,-441,70,3565,1347,Profit margin < 1gp
Guthix full helm,24027,24053,-455,8,4,2673,Profit margin < 1gp
Rune chainbody,29275,29396,-466,70,942,1113,Profit margin < 1gp
Rune sq shield,22379,22316,-509,70,586,1185,Profit margin < 1gp
Zamorak platelegs,39500,39737,-557,8,2,2655,Profit margin < 1gp
Rune platebody,38130,38336,-560,70,4011,1127,Profit margin < 1gp
Rune 2h sword,37771,37773,-753,70,1224,1319,Profit margin < 1gp
Rune kiteshield,32029,31903,-764,70,2900,1201,Profit margin < 1gp
Rune plateskirt,37772,37762,-765,70,648,1093,Profit margin < 1gp
Rune battleaxe,24556,24275,-766,70,594,1373,Profit margin < 1gp
Rune platelegs,37733,37679,-807,70,4093,1079,Profit margin < 1gp
Rune platebody (t),39000,38831,-945,8,1,2623,No 3h average data
Black platelegs (g),24888,24000,-1368,8,4,2593,Purchase price drop (1h vs 7d)
Rune full helm (t),24902,23717,-1659,8,3,2627,Profit margin < 1gp
Bandos full helm,25000,22432,-3016,8,3,12486,Profit margin < 1gp
Mole slippers,175000,175000,-3500,4,8,23285,Profit margin < 1gp
Team cape i,1078575,1079435,-20728,4,2,20217,Profit margin < 1gp
Bryophyta's staff (uncharged),4361533,4428366,-21734,8,6,22368,Profit margin < 1gp
Old school bond,12029942,11834721,-431915,100,128,13190,Name exclusion
